"","Clinic","Visits","temp","Prec","prec"
"68","J",1,80.9246997923125,85.6,0
"69","J",1,81.2056265229825,85.6,0
"70","A",0,81.7154363548383,85.6,0
"71","G",0,82.3361252489034,85.6,455.8
"72","G",0,81.4716949743684,83.9,432.2
"73","C",0,81.9051647611428,83.9,0
"74","I",0,81.2607495599426,83.9,217.5
"75","B",1,82.6830432716291,83.9,53.6
"76","H",0,81.4973260384053,83.9,477.1
"77","E",0,76.6387469443958,83.9,205.5
"78","F",0,81.4901774931699,83.9,160.5
"79","D",2,82.6942078071646,83.9,468.2
"80","C",1,82.4128137667198,83.9,337.3
"81","B",1,84.0062957448885,83.9,162.5
"82","H",0,82.6005129770842,83.9,612
"83","J",1,82.6166177809704,83.9,0
"84","I",0,82.6924738968723,83,289
"85","G",1,83.3032083873171,83,308
"86","A",0,80.9950640115421,83,123
"87","B",1,81.6012747960631,83,221
"88","I",0,80.8235444829334,83,625
"89","H",0,80.6185514535755,83,497
"90","D",3,81.7726099519059,83,346
"91","E",0,82.8763900402468,83,0
"92","A",0,83.1418368509971,86.1,0
"93","J",2,81.3864431791008,86.1,59.4
"94","C",1,83.8058175403625,86.1,553.9
"95","D",2,83.9037883897312,86.1,370.7
"96","F",0,83.7243044291157,86.1,0
"97","J",2,81.6948402847163,86.1,223.5
"98","E",0,81.9290342711843,86.1,0
"99","F",0,81.2566006158013,86.8,82.2
"100","C",1,81.7533817633521,86.8,0
"101","G",1,81.3225052624475,86.8,408.4
"102","F",1,80.0127655596472,86.8,8.39999999999998
"103","B",1,82.2209216919262,86.8,90.2
"104","I",0,81.6878889607731,86.8,0
"105","F",1,82.1646819705609,86.8,231
"106","E",0,82.4743684504647,86.8,0
"107","H",0,81.1923192848451,86.8,233
"108","J",2,79.9351759276353,86.8,193
"109","H",0,79.4297394394409,86.8,98.2
"110","C",1,80.4359670195729,86.8,466.4
"111","C",1,82.2842486253474,86.8,589
"112","E",0,84.3646303963382,86.8,0
"113","B",1,80.4121654709335,86.8,0
"114","D",3,80.9688085078262,86.8,511.2
"115","G",1,79.4698641845491,86.8,56.2
"116","G",1,82.4078334725462,86.8,507.2
"117","H",0,81.3136754141189,86.8,399.6
"118","D",3,81.8362535580061,86.8,543.2
"119","A",0,81.394148223754,86.8,111.2
"120","D",3,82.6836436249316,86.8,508.2
"121","I",0,79.609288121853,85.4,45.6
"122","A",0,80.0843796751462,85.4,0
"123","E",0,81.8772826743778,85.4,332.8
"124","F",1,82.1032058995217,85.4,334.8
"125","J",2,81.7183510365896,85.4,0
"126","C",1,82.2254221851938,85.4,55.2
"127","J",2,83.7416021243669,85.4,0
"128","A",1,83.4197672993876,85.4,568
"129","C",1,84.8862997858785,85.4,570
"130","D",3,85.2736637107562,85.4,0
"131","E",0,80.4363609417807,85.4,181
"132","G",1,82.4082872127648,85.5,97
"133","I",0,81.5418407174759,85.5,552.5
"134","B",1,83.0775155497715,85.5,433
"135","B",1,84.4459137713537,85.5,206.5
"136","G",1,83.6417795603164,85.5,178.5
"137","A",1,81.949312059721,85.5,586
"138","A",1,80.083077056054,85.5,372.5
"139","F",1,84.698921062937,84.3,0
"140","I",1,84.0795992102474,84.3,374.1
"141","H",0,83.3775081899483,84.3,605
"142","D",3,83.2932100981474,84.3,176.5
"143","J",2,79.6393282855395,84.3,133.5
"144","C",1,80.8033675620798,84.3,113.2
"145","J",2,82.5656144030858,84.3,138.5
"146","D",3,80.7098700673785,84.3,532.7
"147","I",1,79.5909083403647,84.3,0
"148","F",1,82.6747399809305,84.3,375.1
"149","G",1,82.5698914766312,84.3,459.7
"150","G",1,79.6666474206839,88.2,530.8
"151","F",1,80.4403865655884,88.2,0
"152","E",0,82.9166520033497,88.2,173
"153","C",1,83.8542236598209,88.2,413.4
"154","J",2,80.7608550603036,88.2,84.8
"155","B",1,80.5660885530058,88.2,149.8
"156","I",1,82.1937115917448,88.2,391.4
"157","A",1,82.763607757492,88.2,252.2
"158","H",1,79.5070445434656,88.2,641
"159","B",1,82.173131500138,88.2,169
"160","E",0,84.5799579100683,88.2,535.8
"161","C",1,82.4012866250705,88.2,385.4
"162","H",1,82.4846427357756,84.8,468.4
"163","J",2,79.8283870258834,84.8,0
"164","B",1,83.4069409112912,84.8,350.6
"165","A",1,80.8074696469121,84.8,433.4
"166","F",1,80.7558850499336,87.3,60.2
"167","H",1,80.601090607699,87.3,543.7
"168","G",1,80.5250119713601,87.3,0
"169","I",1,80.8177531010006,87.3,220.5
"170","E",0,80.5621416710317,87.3,505.7
"171","D",3,82.3367616883479,87.3,52.2
"172","H",1,79.4305549344514,87.3,120.2
"173","C",1,80.3684660572559,87.3,440.4
"174","A",1,79.9649015880655,87.3,409.4
"175","I",1,79.9733709647786,87.3,0
"176","G",1,80.7552674109116,87.3,0
"177","E",0,83.1227134285495,87.3,135.2
"178","C",1,81.8018450687174,87.3,339.1
"179","J",2,80.7012682255823,87.3,139.2
"180","F",1,80.5800848476589,87.1,590
"181","B",1,80.9382352143526,87.1,328.7
"182","D",3,80.5150657383725,87.1,434.8
"183","A",1,81.2993262208998,87.1,419.8
"184","D",3,82.4026112250518,87.1,217.5
"185","F",1,84.9198726118542,87.1,305.6
"186","D",3,84.8362914368976,87.1,484.9
"187","B",1,82.0859550695401,86.6,113.4
"188","I",1,80.7644538082182,86.6,580
"189","H",1,81.1480728116818,86.6,0
"190","F",1,81.2183813558891,86.6,54.4
"191","G",1,81.624345686892,86.6,209
"192","B",1,84.8222504291683,86.6,50.4
"193","C",1,85.1400515840855,86.6,0
"194","J",2,83.5162428727839,86.6,217
"195","H",1,83.863903544005,86.6,360.2
"196","H",1,84.1719906354323,86.6,531.4
"197","E",0,81.7971382949036,86.6,226.6
"198","I",1,83.0034676639829,86.6,184
"199","A",1,83.40724120019,86.6,635
"200","E",1,80.3156406049617,86.6,396.2
"201","E",1,82.3679945873097,86.6,52.4
"202","D",3,84.282900647819,86.6,261.6
"203","C",1,84.5383920297958,86.6,0
"204","G",1,83.8870412498713,87.9,556.1
"205","J",2,83.5968928850256,87.9,213.5
"206","A",1,83.1225428014062,87.9,137.6
"207","D",3,85.7741643362679,87.9,82.6
"208","I",1,84.3359904238954,87.9,0
"209","B",1,84.1225287137553,87.9,0
"210","C",1,85.7680316206533,87.9,0
"211","E",1,84.9904528244864,87.9,579.1
"212","G",1,84.921478186734,87.9,46.7
"213","G",1,84.3491849318147,88,473
"214","F",1,84.2845736593008,88,0
"215","H",1,84.9501430492382,88,148
"216","D",3,83.9504627937917,88,333
"217","E",1,84.4704933139496,88,474
"218","A",1,84.8719905698672,88,13
"219","I",1,84.3694245731458,88,580
"220","F",1,84.3212166529615,88,335
"221","F",1,83.2546093469486,88,0
"222","J",2,83.2264381464105,88,0
"223","H",1,83.3384240938816,88,0
"224","B",2,83.9572507344186,88.6,655
"225","G",1,83.5342698642984,88.6,175
"226","J",2,84.665448713582,88.6,501.4
"227","I",1,82.9205700420775,88.6,4.79999999999995
"228","B",2,85.9001209614798,88.6,0.799999999999955
"229","A",1,83.0156959279906,88.6,0
"230","C",2,83.5556966411881,85.7,857
"231","J",3,81.7253523070831,85.7,599.9
"232","I",1,84.7587101093959,85.7,514.2
"233","I",1,82.2991051345598,85.7,85.7
"234","A",1,82.2961859528441,85.7,514.2
"235","D",3,82.950956167886,85.7,257.1
"236","F",1,83.2932344013825,85.7,771.3
"237","J",3,84.1289911365602,85.7,685.6
"238","D",3,85.1861522654071,85.7,857
"239","G",1,84.973480501445,85.7,685.6
"240","B",2,85.0713574432302,85.7,85.7
"241","H",1,84.4426951340865,85.7,857
"242","H",1,81.5353139548097,84.7,592.9
"243","E",1,85.2915459845681,84.7,84.7
"244","A",1,84.4118219693191,84.7,847
"245","B",2,83.3448441773653,84.7,84.7
"246","G",1,82.8628820362501,84.7,592.9
"247","I",1,83.494066730747,84.7,847
"248","C",2,82.8443398615345,84.7,254.1
"249","G",1,83.0274810932111,84.7,254.1
"250","F",1,84.5396965479013,84.7,338.8
"251","E",1,82.7557849304285,84.7,592.9
"252","C",2,85.1728947120719,87.4,87.4
"253","E",1,84.1918997374363,87.4,874
"254","J",3,83.1093682836741,87.4,262.2
"255","D",4,83.7058121412061,87.4,262.2
"256","C",2,86.1077520816121,87.4,437
"257","H",1,82.8680008271709,87.4,87.4
"258","E",1,85.3555218866095,87.4,262.2
"259","C",2,84.2820333718788,87.4,786.6
"260","B",2,86.4179677375592,87.4,174.8
"261","J",3,85.0514638166875,87.4,786.6
"262","D",4,85.9651147102937,85.7,771.3
"263","F",1,82.9891019297298,85.7,342.8
"264","A",1,83.0008745900355,85.7,428.5
"265","F",2,85.2977495788597,85.7,771.3
"266","H",1,85.4554700266104,85.7,257.1
"267","A",1,84.7487429842818,85.7,85.7
"268","B",2,83.6213665245101,85.7,85.7
"269","B",2,84.5705370109994,85.7,857
"270","I",1,85.287677630689,85.7,85.7
"271","D",4,84.4628621308133,85.7,257.1
"272","A",1,83.7371120179072,85.7,171.4
"273","I",1,83.3268855026458,85.7,599.9
"274","G",1,85.5758961878251,84.3,84.3
"275","J",3,83.1686952161603,84.3,168.6
"276","E",1,84.1362557971384,84.3,843
"277","F",2,84.1321379077621,84.3,337.2
"278","C",2,84.64582987139,84.3,843
"279","J",3,82.5193042843603,84.3,758.7
"280","H",1,83.6281408694107,84.9,424.5
"281","G",1,84.445424527023,84.9,594.3
"282","D",4,83.3314299494959,84.9,764.1
"283","B",2,83.7320100774523,84.9,254.7
"284","H",2,82.7404596910346,84.9,764.1
"285","F",2,82.6983248954639,84.9,849
"286","A",1,82.4155327642802,84.9,764.1
"287","E",1,84.3095376594923,84.9,849
"288","A",2,85.1745804721955,84.9,424.5
"289","I",1,82.8673661903013,84.9,679.2
"290","C",2,83.4681684684474,84.9,594.3
"291","D",4,87.0594834253658,84.9,764.1
"292","F",2,85.9590673899744,84.9,254.7
"293","B",2,86.1639128349721,84.9,509.4
"294","H",2,85.8970400860067,84.9,509.4
"295","C",2,86.1079685542732,84,336
"296","E",1,85.8908902645577,84,588
"297","D",4,87.5490017192904,84,672
"298","C",2,86.8226016954984,84,672
"299","J",3,85.8910586460493,84,252
"300","G",1,82.7880738242529,84,336
"301","H",2,86.4404555412009,84,840
"302","A",2,86.5267943292391,84,336
"303","I",1,86.6922456444707,84,588
"304","J",3,86.5765995711088,84,168
"305","G",1,86.2174477827735,85.9,429.5
"306","I",1,85.8405174160376,85.9,859
"307","B",2,87.4116529945284,85.9,859
"308","F",2,87.5238637048285,85.9,343.6
"309","G",1,86.5413100257982,85.9,515.4
"310","I",1,85.9659689138178,85.9,773.1
"311","H",2,86.4963023121934,85.9,343.6
"312","E",1,86.680090810312,85.9,859
"313","F",2,86.7580749634188,85.9,429.5
"314","E",1,83.0369709141087,85.5,427.5
"315","A",2,85.8570435617119,85.5,85.5
"316","B",2,87.5232109454926,85.5,342
"317","I",1,85.1401779647917,85.5,342
"318","D",4,87.2303647747729,87.3,785.7
"319","C",2,87.2344468675554,87.3,873
"320","J",3,86.1831867938861,87.3,523.8
"321","D",4,86.2571781194769,87.3,174.6
"322","G",1,86.5444811991882,87.3,785.7
"323","E",1,87.6876232972834,87.3,87.3
"324","C",2,85.9561938567553,87.3,261.9
"325","I",1,85.4771736492403,87.3,87.3
"326","A",2,85.0324758603238,87.3,523.8
"327","G",2,85.1164606719744,87.3,349.2
"328","A",2,85.1825665201526,87.3,785.7
"329","F",2,85.9222935619764,87.3,174.6
"330","H",2,85.2806622049306,89.1,267.3
"331","B",2,85.8216442094185,89.1,623.7
"332","J",3,85.1069899732247,89.1,801.9
"333","C",2,85.8105062979739,89.1,712.8
"334","E",1,87.3812880019657,89.1,534.6
"335","G",2,86.0589413039852,89.1,178.2
"336","D",4,85.8278442069422,89.1,445.5
"337","B",2,86.4871267285198,89.1,801.9
"338","F",2,85.891424638778,89.1,178.2
"339","J",3,84.520363379363,89.1,445.5
"340","B",2,84.7910523290746,89.1,891
"341","E",1,86.351116038952,89.1,623.7
"342","D",4,85.0576388022862,89.1,178.2
"343","H",2,85.2807126562111,84.5,253.5
"344","I",2,83.7749628328718,84.5,422.5
"345","C",2,85.1808047079947,84.5,760.5
"346","I",2,88.0642456126399,84.5,676
"347","F",2,88.4897878549993,84.5,422.5
"348","J",3,84.1211568158586,83.8,251.4
"349","F",2,84.2540278026834,83.8,670.4
"350","G",2,84.1059969057795,83.8,251.4
"351","H",2,87.5565677097067,83.8,586.6
"352","A",2,84.1722661503125,83.8,167.6
"353","C",3,85.5304852362722,83.8,167.6
"354","G",2,87.3408965373412,83.8,251.4
"355","E",1,85.292727084551,83.8,838
"356","H",2,83.8055580283515,83.8,838
"357","C",2,88.2708305339795,83.8,754.2
"358","I",2,84.4700708314311,83.8,586.6
"359","F",2,84.552096362412,83.8,502.8
"360","B",2,89.1220952864271,84.5,845
"361","J",4,87.994820739422,84.5,676
"362","E",1,86.4978691095021,84.5,338
"363","A",2,87.2696215569042,84.5,338
"364","H",2,84.5247477644123,84.5,422.5
"365","D",4,85.4261609417852,84.5,253.5
"366","D",4,88.5386033826973,84.5,845
"367","E",1,88.7745823732577,84.5,169
"368","D",5,87.9472048002761,84.5,338
"369","I",2,86.4927988966927,84.5,676
"370","G",2,84.7773534166161,85,170
"371","B",2,85.0936852278654,85,85
"372","F",2,87.6457617117092,85,510
"373","H",2,86.6468230578583,85,510
"374","A",2,84.6375167360064,85,85
"375","J",4,86.5071133563295,85,850
"376","G",2,86.9054044211749,85,85
"377","H",2,86.9214492881671,85,85
"378","J",4,84.3447377921082,85,680
"379","B",3,87.4542706689797,85,510
"380","A",2,86.1424298837315,85,510
"381","C",3,87.9459618636407,85,85
"382","F",2,87.2326440919656,85,255
"383","J",4,86.2160222084727,85,340
"384","B",3,87.4552727729548,85,680
"385","C",3,87.648131704377,84.1,756.9
"386","D",5,88.0258974054828,84.1,336.4
"387","E",1,85.3952722807415,84.1,841
"388","G",2,87.1269564954098,84.1,84.1
"389","A",2,85.7736290520057,84.1,84.1
"390","A",2,86.4689345438499,84.1,420.5
"391","G",2,86.7269860917237,84.1,841
"392","F",2,85.8105885755736,83.9,839
"393","I",2,86.1182071463205,83.9,503.4
"394","E",2,87.2106554248836,83.9,335.6
"395","B",3,88.1589137183968,83.9,671.2
"396","I",2,85.7355754502583,83.9,503.4
"397","J",4,86.4912195821758,85.3,682.4
"398","H",2,85.7254251594655,85.3,341.2
"399","B",3,87.2977904867381,85.3,85.3
"400","D",5,87.5246981102042,85.3,170.6
"401","D",5,88.1509872949682,85.3,853
"402","I",2,86.9707509506028,85.3,767.7
"403","E",2,88.1170901914127,85.3,170.6
"404","C",3,87.0229088905267,85.3,255.9
"405","H",2,87.5875371863134,85.3,682.4
"406","J",4,87.7322294955142,85.3,682.4
"407","B",3,88.2564567544032,85.3,341.2
"408","D",5,88.13130596173,85.3,426.5
"409","A",3,87.2317230175249,85.3,597.1
"410","C",3,88.5129266687203,85.3,597.1
"411","E",2,87.4917710285168,85.3,85.3
"412","G",3,88.1276410277933,86.9,782.1
"413","G",3,87.9720484477934,86.9,782.1
"414","F",3,87.52194255949,86.9,782.1
"415","A",3,87.2552757611033,86.9,695.2
"416","J",4,87.6753347751219,86.9,86.9
"417","F",3,88.4875506698154,86.9,608.3
"418","J",4,88.5262402991299,86.9,869
"419","I",2,87.9089791050646,86.9,608.3
"420","C",3,88.2289974791929,86.9,434.5
"421","D",5,89.3578813610598,86.9,695.2
"422","A",3,87.9324391748756,86.9,173.8
"423","B",3,88.9425848993938,86.9,521.4
"424","H",2,88.4217106817756,86.9,782.1
"425","H",2,87.3607418686152,84.9,254.7
"426","F",3,86.093157760147,84.9,679.2
"427","I",2,87.8715127593838,84.9,254.7
"428","G",3,88.675787861133,84.9,339.6
"429","C",3,86.0949751586188,84.9,509.4
"430","J",4,84.7718260256108,84.9,764.1
"431","E",2,88.501340930583,84.9,254.7
"432","C",3,89.4492779673543,85.1,765.9
"433","E",2,88.3859220946673,85.1,85.1
"434","B",3,85.7423781650607,85.1,255.3
"435","F",3,89.2106904773042,85.1,765.9
"436","G",3,84.9710281710606,85.1,255.3
"437","J",4,84.3526056339499,85.1,425.5
"438","F",3,85.3824780628085,85.1,765.9
"439","H",2,85.0800939491484,85.1,851
"440","G",3,84.5941829192918,85.1,425.5
"441","C",3,85.4759966731537,85.1,340.4
"442","I",2,85.4394385747612,84.8,508.8
"443","A",3,84.9836608625948,84.8,254.4
"444","A",3,84.1829494834412,84.8,848
"445","D",5,85.9706002451014,84.8,678.4
"446","I",2,84.1084258642979,84.8,169.6
"447","D",5,84.7129208518192,83.5,835
"448","H",2,83.7072784838267,83.5,334
"449","B",3,85.5163784008939,83.5,417.5
"450","E",2,89.5114598415326,83.5,835
"451","I",3,85.2835233405232,83.5,835
"452","F",3,87.9553686919157,83.5,668
"453","A",3,86.4205353046767,83.5,334
"454","A",3,85.5716915464029,83.5,501
"455","E",2,86.0971612253226,83.5,334
"456","H",3,86.7113608509302,83.5,501
"457","B",3,85.9531685368158,83.5,417.5
"458","G",3,88.0329681316856,82.8,496.8
"459","D",5,87.8324904582463,82.8,579.6
"460","D",5,84.7941325800028,82.8,745.2
"461","G",3,85.7954341047909,82.8,248.4
"462","I",3,86.8834828979801,82.8,248.4
"463","H",3,85.6896192029119,82.8,82.8
"464","B",3,87.5267764277291,82.8,414
"465","E",2,85.5861658561509,82.8,248.4
"466","E",2,87.4288584723603,82.8,82.8
"467","A",3,83.7837921953294,82.8,496.8
"468","E",2,85.9263815561309,84.5,676
"469","B",3,84.8344502155203,84.5,591.5
"470","H",3,84.1504345039837,84.5,338
"471","F",3,84.9501923383679,84.5,422.5
"472","I",3,83.9800771741197,84.5,760.5
"473","D",5,85.7714733991772,84.5,84.5
"474","F",3,85.2764817316551,84.5,169
"475","F",3,84.1079825916793,84.8,508.8
"476","I",3,83.7203324215487,84.8,339.2
"477","G",3,84.534495164128,84.8,848
"478","A",3,84.7450574257877,84.8,678.4
"479","E",2,84.8267522518989,84.8,593.6
"480","G",3,84.4404049651697,84.8,678.4
"481","B",3,84.9746503380593,84.8,339.2
"482","H",3,84.3953585197218,83.7,837
"483","B",3,85.4301717650145,83.7,167.4
"484","I",3,83.7204222104046,83.7,753.3
"485","D",5,85.4518946375232,83.7,418.5
"486","D",5,84.85709976824,83.7,585.9
"487","I",3,85.7162386626937,83.7,167.4
"488","F",3,84.6102285219822,83.7,334.8
"489","E",2,85.0862026469316,83.7,837
"490","A",3,83.0200997102074,83.8,670.4
"491","B",3,86.8302992874291,83.8,167.6
"492","H",3,83.0236755711958,83.8,670.4
"493","H",3,84.7435820070095,83.8,502.8
"494","A",3,85.2606066661887,83.6,167.2
"495","F",3,86.2349344502203,83.6,752.4
"496","I",3,84.9159643652383,83.6,836
"497","F",3,85.3040769894142,83.6,418
"498","E",2,81.1456904835068,83.6,668.8
"499","H",3,85.0785379105713,83.6,334.4
"500","B",3,85.8601944246329,83.6,585.2
"501","B",3,88.1807601665612,83.6,836
"502","H",3,86.752236209996,85,255
"503","E",2,78.0551197903231,85,425
"504","I",3,87.0336733448319,85,680
"505","E",2,77.1260202058125,84.4,675.2
"506","B",3,89.2981092155911,84.4,422
"507","H",3,88.2186765958555,84.4,759.6
"508","I",3,88.8405586517416,84.4,337.6
"509","H",3,83.8422408986371,84.4,590.8
"510","B",4,84.5327310664579,85,255
"511","E",2,80.606820508698,85,340
"512","E",2,78.2081674937624,85,680
"513","I",3,84.375275705941,84.9,424.5
"514","H",3,83.5124139966909,84.9,84.9
"515","I",3,83.5521111159585,84.9,679.2
"516","E",2,80.4651171804871,84.9,169.8
"517","B",4,84.127409401536,83.1,831
"518","B",4,85.9200349256862,83.1,498.6
"519","E",3,76.6387469443958,83.1,166.2
"520","B",4,84.7473854140844,82.8,828
"521","E",3,81.9290342711843,82.8,662.4
"522","B",4,84.9586206312757,83.6,250.8
"523","E",3,82.8763900402468,83.6,334.4
"524","B",4,84.8250511012506,84.2,589.4
"525","B",4,85.4370280019473,83.4,83.4
"526","E",3,84.3646303963382,83.2,748.8
"527","E",3,82.4743684504647,83.4,667.2
"528","E",3,80.4363609417807,83.4,750.6
"529","E",3,81.8772826743778,84.7,84.7
"530","E",3,84.5799579100683,83.8,167.6
"531","E",3,82.9166520033497,84.4,844
"532","E",3,80.5621416710317,84.4,253.2
"533","E",3,83.1227134285495,83.5,501
"534","E",3,81.7971382949036,83.4,333.6
